@relation COVID-19 Estimated ICU Beds Occupied by State Timeseries
@attribute ICU_Beds_Occupied_Estimated numeric
@attribute ICU_Beds_Occupied_Total numeric
@attribute class {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50}

@data
224,294,7
145,180,8
4748,6390,9
1702,2450,22
1929,2607,10
364,614,44
196,287,13
1893,3294,14
1365,2224,15
580,806,16
1028,1761,17
1087,1758,18
892,1327,19
793,1213,20
129,218,11
1232,1876,45
609,882,33
914,1254,47
412,609,49
48,129,50
817,1580,48
68,97,46
1787,2476,22
858,1261,20
982,1332,19
1105,1761,18
1067,1762,17
599,813,16
1417,2227,15
2036,3297,14
190,293,13
426,662,12
2018,2606,10
640,878,23
4962,6411,9
143,180,8
261,300,7
522,1030,6
898,1252,5
4529,6632,4
738,1000,2
1311,1586,1
81,124,0
836,1580,48
131,217,11
51,124,50
226,314,21
949,1268,47
1048,2123,3
1431,1691,24
608,826,25
140,219,26
1800,2337,27
110,193,28
353,564,29
440,609,49
1237,2924,31
302,398,32
652,883,33
3239,5184,34
2641,4068,35
716,966,36
529,787,37
188,283,30
116,138,39
733,1110,40
133,223,41
1581,2355,42
5316,6208,43
414,614,44
1264,1884,45
72,97,46
2816,3664,38
599,804,16
1059,1762,17
1132,1771,18
1810,2464,22
877,1247,20
238,319,21
1481,2246,15
649,879,23
1008,1340,19
2046,3294,14
831,1585,48
451,659,12
517,1030,6
903,1248,5
134,217,11
2055,2608,10
4634,6663,4
747,998,2
1316,1601,1
76,127,0
263,317,7
194,298,13
139,181,8
5061,6472,9
1269,1875,45
50,119,50
438,606,49
932,1268,47
70,97,46
409,618,44
5356,6262,43
1568,2352,42
133,223,41
847,1230,40
2772,3607,38
551,784,37
752,964,36
126,148,39
3222,5171,34
1085,2121,3
1457,1719,24
606,825,25
2680,4061,35
1792,2329,27
101,198,28
142,219,26
186,282,30
1231,2922,31
312,407,32
676,890,33
346,564,29
2764,3635,38
1198,2927,31
528,790,37
750,960,36
2694,4083,35
3248,5186,34
687,895,33
309,404,32
181,283,30
411,617,44
108,192,28
1784,2328,27
137,219,26
812,1588,48
604,824,25
1455,1708,24
1080,2131,3
129,155,39
350,561,29
5419,6322,43
846,1234,40
1297,1585,1
1590,2355,42
51,129,50
441,606,49
908,1267,47
68,97,46
1278,1869,45
80,125,0
642,853,23
1821,2492,22
240,319,21
852,1237,20
979,1337,19
1074,1762,17
590,806,16
1134,1769,18
2078,3290,14
736,989,2
4648,6653,4
906,1244,5
529,1030,6
276,327,7
1471,2242,15
5042,6484,9
143,182,8
133,224,41
2024,2602,10
126,215,11
445,648,12
208,296,13
1117,1769,18
1099,1762,17
940,1329,19
1366,2242,15
848,1243,20
2028,3269,14
1220,1584,1
409,645,12
125,212,11
2009,2604,10
4936,6432,9
144,182,8
252,323,7
533,1030,6
871,1246,5
4598,6620,4
736,983,2
83,126,0
204,299,13
576,807,16
1773,2496,22
819,1595,48
1224,1875,45
415,617,44
5339,6302,43
1563,2351,42
126,223,41
828,1238,40
134,152,39
2551,3483,38
515,775,37
711,963,36
2604,4058,35
3167,5184,34
672,896,33
312,403,32
1178,2930,31
172,282,30
353,566,29
106,190,28
1771,2323,27
118,232,26
607,815,25
1421,1691,24
1098,2125,3
237,318,21
639,864,23
68,97,46
841,1246,47
441,612,49
44,129,50
44,129,50
420,611,49
852,1247,47
67,97,46
1194,1881,45
388,617,44
5147,6149,43
1535,2349,42
128,220,41
821,1236,40
123,156,39
2508,3462,38
802,1593,48
506,771,37
2484,4074,35
3142,5185,34
681,887,33
308,395,32
1148,2927,31
162,282,30
333,561,29
1726,2318,27
116,216,26
605,816,25
1378,1697,24
1052,2122,3
726,961,36
106,193,28
83,124,0
1228,1584,1
506,1030,6
874,1237,5
4544,6598,4
706,981,2
141,182,8
1066,1762,17
1106,1756,18
898,1331,19
833,1255,20
249,316,7
225,311,21
574,825,23
4872,6453,9
1966,2600,10
131,217,11
