@relation Incomes_vs_ChildrenPerWomen_gapminder
@attribute children_per_women numeric
@attribute GDP_per_capita numeric
@attribute class {0,1}

@data
7.17,890,0
3.32,4880,1
5.79,1250,0
7.08,1470,0
5.04,4080,1
6.91,1070,0
6.55,1250,0
6.59,1350,0
6.82,1190,0
6.47,1680,0
4.51,5020,1
4.42,6980,1
6.25,1510,0
3.73,6990,1
5.25,4890,1
6.99,1900,0
6.03,1880,0
4.86,3380,1
7.17,890,0
3.26,4950,1
5.76,1210,0
7.08,1480,0
5.04,4170,1
6.91,1080,0
6.55,1250,0
6.59,1300,0
6.82,1240,0
6.47,1980,0
4.49,5320,1
4.36,7190,1
6.24,1410,0
3.74,7180,1
5.23,5030,1
6.99,1920,0
6.03,1890,0
4.78,3300,1
7.17,890,0
3.22,4980,1
5.76,1270,0
7.08,1490,0
5.03,4280,1
6.91,1080,0
6.55,1250,0
6.59,1360,0
6.82,1150,0
6.47,2260,0
4.43,5260,1
4.3,7180,1
6.23,1360,0
3.71,7100,1
5.22,5180,1
6.99,1940,0
6.03,1910,0
4.82,3430,1
7.17,891,0
3.16,5020,1
5.75,1270,0
7.08,1500,0
5.02,4250,1
6.91,1080,0
6.55,1250,0
6.59,1370,0
6.82,1270,0
6.47,2550,0
4.44,5170,1
4.27,7470,1
6.22,1380,0
3.7,7130,1
5.21,5260,1
6.99,1960,0
6.03,1920,0
4.82,3430,1
7.17,891,0
3.12,5140,1
5.75,1240,0
7.08,1510,0
4.98,4120,1
6.91,1090,0
6.55,1250,0
6.59,1330,0
6.82,1250,0
6.47,2520,0
4.24,5400,1
4.25,7580,1
6.21,1500,0
3.56,7370,1
5.2,5370,1
6.99,1980,0
6.03,1940,0
4.55,3420,1
7.17,891,0
2.95,5260,1
5.75,1290,0
7.08,1520,0
4.95,4130,1
6.91,1090,0
6.55,1250,0
6.59,1380,0
6.82,1170,0
6.47,2540,0
4.48,5540,1
4.22,7510,1
6.2,1600,0
3.78,6850,1
5.18,5300,1
6.99,2010,0
6.03,1960,0
4.67,3480,1
7.17,891,0
3.03,5380,1
5.75,1170,0
7.08,1530,0
4.91,4180,1
6.91,1090,0
6.55,1250,0
6.59,1250,0
6.82,1250,0
6.47,2650,0
4.31,5610,1
4.2,7610,1
6.19,1390,0
3.71,7310,1
5.17,5460,1
6.99,2030,0
6.03,1970,0
4.71,3770,1
7.17,891,0
2.96,5520,1
5.74,1260,0
7.08,1540,0
4.88,4190,1
6.91,1100,0
6.55,1260,0
6.59,1350,0
6.82,1280,0
6.47,2580,0
4.36,5590,1
4.17,7640,1
6.18,1180,0
3.74,7410,1
5.16,5670,1
6.99,2050,0
6.03,1990,0
4.71,3610,1
7.17,893,0
3.02,5610,1
5.74,1290,0
7.08,1550,0
4.84,4250,1
6.91,1100,0
6.55,1260,0
6.59,1380,0
6.82,1200,0
6.47,2560,0
4.34,5850,1
4.13,7670,1
6.17,1180,0
3.66,7410,1
5.14,5750,1
6.99,2080,0
6.03,2000,0
4.6,3650,1
7.17,893,0
2.94,5810,1
5.74,1310,0
7.08,1560,0
4.79,4280,1
6.91,1100,0
6.55,1260,0
6.59,1400,0
6.82,1100,0
6.47,2480,0
4.4,5950,1
4.09,7770,1
6.16,1400,0
3.66,7820,1
5.11,5940,1
6.99,2100,0
6.03,2020,0
4.63,3590,1
7.17,893,0
2.86,5680,1
5.73,1280,0
7.08,1570,0
4.74,4310,1
6.91,1110,0
6.55,1260,0
6.59,1360,0
6.82,1160,0
6.47,2860,0
4.4,5970,1
4.06,7850,1
6.11,1270,0
3.77,8280,1
5.09,6060,1
6.99,2120,0
6.03,2030,0
4.75,3230,1
7.17,893,0
2.98,5940,1
5.73,1180,0
7.08,1580,0
4.69,4380,1
6.91,1110,0
6.55,1260,0
6.59,1260,0
6.82,1270,0
6.47,2990,0
4.33,6040,1
4.02,7930,1
6.05,1250,0
3.79,8660,1
5.06,6140,1
6.99,2150,0
6.03,2050,0
4.51,3430,1
7.17,893,0
2.92,5840,1
5.73,1390,0
7.08,1590,0
4.64,4380,1
6.91,1110,0
6.55,1260,0
6.59,1480,0
6.82,1370,0
6.47,2800,0
4.35,6320,1
3.98,8000,1
5.99,1280,0
3.82,8920,1
5.04,6300,1
6.99,2170,0
6.03,2070,0
4.41,3650,1
7.17,893,0
2.87,6100,1
5.73,1390,0
7.08,1600,0
4.59,4360,1
6.91,1120,0
6.55,1270,0
6.59,1480,0
6.82,1440,0
6.47,3360,0
4.35,6380,1
3.91,8090,1
5.93,1260,0
3.89,8790,1
4.99,6430,1
6.99,2200,0
6.03,2080,0
4.53,3660,1
7.17,895,0
2.88,6440,1
5.73,1280,0
7.08,1610,0
4.56,4410,1
6.91,1120,0
6.55,1270,0
6.59,1360,0
6.82,1490,0
6.47,2950,0
4.33,6380,1
3.84,8250,1
5.88,1210,0
3.83,9180,1
4.93,6600,1
6.99,2220,0
6.03,2100,0
4.49,3710,1
7.17,895,0
2.8,6360,1
5.73,1330,0
7.08,1620,0
4.53,4530,1
6.91,1120,0
6.55,1270,0
6.59,1400,0
6.82,1500,0
6.47,2070,0
4.34,6340,1
3.79,8230,1
5.82,1300,0
3.89,8880,1
4.88,6350,1
6.99,2250,0
6.03,2110,0
4.71,4000,1
7.17,895,0
2.9,6250,1
5.73,1340,0
7.08,1630,0
4.49,4600,1
6.91,1130,0
6.55,1270,0
6.59,1420,0
6.81,1590,0
6.47,2230,0
4.35,6510,1
3.73,8270,1
5.76,1280,0
3.82,9180,1
4.82,6400,1
6.99,2270,0
6.03,2130,0
4.7,3800,1
7.17,895,0
2.85,6140,1
5.72,1450,0
7.08,1640,0
4.46,4680,1
6.91,1140,0
6.55,1270,0
6.59,1530,0
6.8,1680,0
6.47,2660,0
4.13,6510,1
3.68,8340,1
5.78,1280,0
3.67,8980,1
4.77,6650,1
6.99,2300,0
6.03,2150,0
4.69,3770,1
7.17,895,0
2.78,6260,1
5.72,1460,0
7.08,1650,0
4.43,4720,1
6.91,1150,0
6.55,1270,0
6.59,1540,0
6.79,1770,0
6.47,3570,0
4.17,6540,1
3.63,8450,1
5.8,1270,0
3.66,9550,1
4.68,6820,1
6.99,2320,0
6.03,2160,0
4.67,3690,1
7.17,896,0
2.75,6300,1
5.72,1460,0
7.08,1670,0
4.44,4800,1
6.91,1160,0
6.55,1280,0
6.59,1540,0
6.78,1800,0
6.47,3570,0
3.99,6830,1
3.57,8590,1
5.81,1280,0
3.6,9970,1
4.6,6870,1
6.99,2350,0
6.02,2180,0
4.66,3640,1
7.17,896,0
2.71,6400,1
5.72,1420,0
7.08,1680,0
4.45,4900,1
6.91,1170,0
6.55,1280,0
6.59,1500,0
6.77,1910,0
6.47,3810,0
4.01,7030,1
3.52,8670,1
5.83,1380,0
3.6,10500,1
4.51,6970,1
6.99,2380,0
6.02,2200,0
4.61,3850,1
7.17,896,0
2.7,6510,1
5.72,1450,0
7.08,1690,0
4.45,5070,1
6.91,1180,0
6.55,1280,0
6.59,1530,0
6.76,2040,0
6.47,4110,0
3.89,7380,1
3.47,8700,1
5.85,1350,0
3.51,10400,1
4.43,7180,1
6.99,2400,0
6.02,2220,0
4.57,3920,1
7.17,896,0
2.58,6790,1
5.72,1360,0
7.08,1700,0
4.46,5160,1
6.91,1190,0
6.55,1280,0
6.59,1420,0
6.75,2140,0
6.47,4030,0
3.83,7340,1
3.42,8700,1
5.86,1310,0
3.54,10400,1
4.34,7200,1
6.99,2430,0
6.02,2230,0
4.52,4050,1
7.17,896,0
2.64,6740,1
5.72,1370,0
7.08,1710,0
4.47,5270,1
6.91,1200,0
6.55,1280,0
6.59,1430,0
6.74,2150,0
6.47,3170,0
3.8,7250,1
3.36,8780,1
5.88,1390,0
3.42,10900,1
4.18,7240,1
6.99,2460,0
6.02,2250,0
4.48,4130,1
7.17,898,0
2.56,7010,1
5.71,1550,0
7.08,1720,0
4.43,5310,1
6.91,1210,0
6.55,1280,0
6.59,1620,0
6.73,2160,0
6.47,3320,0
3.69,7280,1
3.31,8990,1
5.9,1370,0
3.1,11200,1
4.01,7410,1
6.99,2490,0
6.02,2270,0
4.43,3920,1
7.17,898,0
2.57,6560,1
5.71,1540,0
7.08,1730,0
4.39,5310,1
6.91,1220,0
6.55,1290,0
6.59,1610,0
6.72,2170,0
6.47,2550,0
3.5,7440,1
3.26,9180,1
5.9,1490,0
3.07,11200,1
3.85,7540,1
6.99,2520,0
6.02,2290,0
4.39,4200,1
7.17,898,0
2.46,7190,1
5.71,1530,0
7.08,1750,0
4.36,5370,1
6.91,1230,0
6.55,1290,0
6.59,1600,0
6.71,2190,0
6.47,2550,0
3.5,7750,1
3.2,9300,1
5.9,1450,0
3.04,11500,1
3.68,7800,1
6.99,2540,0
6.02,2310,0
4.35,4050,1
7.17,898,0
2.49,7770,1
5.71,1520,0
7.08,1760,0
4.32,5380,1
6.91,1240,0
6.55,1290,0
6.59,1590,0
6.7,2240,0
6.47,2550,0
3.33,7660,1
3.15,9340,1
5.9,1450,0
3.01,11300,1
3.52,8070,1
6.99,2570,0
5.99,2320,0
4.3,4260,1
7.17,898,0
2.47,7710,1
5.71,1490,0
7.08,1770,0
4.28,5630,1
6.91,1250,0
6.55,1290,0
6.59,1550,0
6.69,2280,0
6.47,2560,0
3.2,6360,1
3.1,8680,1
5.9,1390,0
3,10500,1
3.27,6770,1
6.99,2580,0
5.97,2310,0
4.26,4110,1
7.17,900,0
2.34,7160,1
5.7,1570,0
7.08,1810,0
4.04,5320,1
6.91,1270,0
6.55,1310,0
6.59,1630,0
6.68,2240,0
6.47,2560,0
3.07,5870,1
3.04,8530,1
5.9,1430,0
2.61,10400,1
3.02,6410,1
6.99,2600,0
5.94,2310,0
4.22,4130,1
7.17,901,0
1.52,7180,1
5.7,1530,0
7.08,1840,0
3.8,5050,1
6.91,1280,0
6.55,1330,0
6.59,1590,0
6.67,2410,0
6.47,2560,0
2.94,5810,1
2.99,9020,1
5.9,1440,0
2.53,11200,1
2.76,6490,1
6.99,2610,0
5.97,2300,0
4.2,4270,1
7.17,903,0
1.23,7660,1
5.7,1570,0
7.08,1880,0
3.56,5470,1
6.91,1290,0
6.55,1350,0
6.59,1630,0
6.66,2620,0
6.47,2570,0
2.81,5720,1
2.94,7780,1
5.9,1510,0
2.48,10900,1
2.51,6530,1
6.99,2620,0
5.99,2290,0
4.19,4180,1
7.17,905,0
1.34,6590,1
5.71,1540,0
7.08,1920,0
3.32,5490,1
6.91,1300,0
6.55,1370,0
6.59,1600,0
6.65,2680,0
6.47,2570,0
2.68,5650,1
2.89,6330,1
5.9,1440,0
2.47,9870,1
2.26,6600,1
6.99,2630,0
6.02,2280,0
4.17,4130,1
7.17,905,0
1.56,5300,1
5.72,1340,0
7.08,1960,0
3.08,5350,1
6.91,1310,0
6.55,1390,0
6.59,1390,0
6.64,2670,0
6.47,2570,0
2.55,5000,1
2.83,7500,1
5.9,1600,0
2.49,9360,1
2.33,5720,1
6.99,2640,0
6.05,2270,0
4.16,4200,1
7.17,906,0
1.59,6220,1
5.73,1530,0
7.08,2000,0
3.24,5140,1
6.91,1320,0
6.55,1410,0
6.59,1580,0
6.63,2720,0
6.47,2610,0
3.14,5340,1
2.78,8760,1
5.9,1720,0
2.34,10200,1
2.4,6190,1
6.99,2650,0
6.08,2260,0
4.14,4500,1
7.17,908,0
2.69,7140,1
5.74,1400,0
7.08,2050,0
3.41,5260,1
6.91,1330,0
6.55,1430,0
6.59,1450,0
6.62,2710,0
6.47,2660,0
3.21,5860,1
2.73,8970,1
5.9,1720,0
2.37,8330,1
2.48,6810,1
6.99,2660,0
6.08,2250,0
4.08,4610,1
7.17,906,0
2.6,6800,1
5.76,1500,0
7.08,2090,0
3.57,5080,1
6.91,1340,0
6.55,1440,0
6.59,1550,0
6.61,2780,0
6.47,2700,0
3.19,6360,1
2.67,9760,1
5.9,1810,0
2.4,9970,1
2.55,7370,1
6.99,2680,0
6.07,2240,0
4.02,4760,1
7.17,905,0
2.42,7990,1
5.77,1550,0
7.08,2130,0
3.74,5450,1
6.91,1340,0
6.55,1450,0
6.59,1600,0
6.6,2980,0
6.47,2740,0
3.1,6290,1
2.62,10000,1
5.9,1870,0
2.43,10600,1
2.62,6080,1
6.99,2690,0
6.07,2240,0
4.02,4760,1
7.17,903,0
2.41,8300,1
5.78,1480,0
7.08,2180,0
3.9,5900,1
6.91,1350,0
6.55,1460,0
6.59,1530,0
6.59,3130,0
6.47,2780,0
2.99,7000,1
2.57,10300,1
5.9,1830,0
2.36,11400,1
2.42,7080,1
6.99,2700,0
6.07,2230,0
3.92,4880,1
7.17,903,0
2.36,9240,1
5.79,1540,0
7.08,2220,0
3.81,6000,1
6.91,1350,0
6.55,1470,0
6.59,1590,0
6.58,3370,0
6.47,2830,0
2.85,7450,1
2.51,10300,1
5.9,1800,0
2.3,11600,1
2.21,7810,1
6.99,2710,0
6.07,2220,0
3.82,5170,1
7.17,901,0
2.39,9220,1
5.8,1540,0
7.08,2270,0
3.72,6360,1
6.91,1350,0
6.55,1480,0
6.59,1590,0
6.57,3410,0
6.47,3010,0
2.66,7550,1
2.46,10600,1
5.9,1800,0
2.23,12000,1
2.1,7970,1
7.02,2720,0
6.15,2210,0
3.87,5070,1
7.18,900,0
2.37,9400,1
5.81,1580,0
7.07,2320,0
3.64,6350,1
6.93,1360,0
6.54,1490,0
6.59,1630,0
6.56,3690,0
6.47,3090,0
2.47,7750,1
2.41,10900,1
5.9,1900,0
2.17,12900,1
1.98,8720,1
7.05,2730,0
6.24,2200,0
3.7,5490,1
7.18,900,0
2.29,9190,1
5.82,1560,0
7.07,2360,0
3.55,6180,1
6.94,1360,0
6.53,1500,0
6.59,1610,0
6.55,3700,0
6.46,3150,0
2.43,8090,1
2.36,11400,1
5.9,2070,0
2.1,13400,1
1.99,9050,1
7.07,2750,0
6.33,2190,0
3.8,5420,1
7.19,898,0
2.31,9800,1
5.83,1560,0
7.06,2410,0
3.46,6510,1
6.96,1360,0
6.53,1510,0
6.59,1610,0
6.54,3880,0
6.46,3390,0
2.32,8180,1
2.3,11200,1
5.9,2030,0
2.05,13800,1
1.93,8960,1
7.1,2760,0
6.42,2180,0
3.69,5790,1
7.2,896,0
2.24,10400,1
5.85,1610,0
7.05,2460,0
3.42,6780,1
6.98,1370,0
6.52,1520,0
6.59,1660,0
6.53,4220,0
6.45,3310,0
2.32,7930,1
2.25,11000,1
5.9,1870,0
1.99,13800,1
1.88,8790,1
7.12,2770,0
6.51,2180,0
3.68,5440,1
7.21,895,0
2.3,10000,1
5.86,1610,0
7.05,2520,0
3.38,6430,1
7,1370,0
6.51,1530,0
6.59,1650,0
6.53,3680,0
6.45,3130,0
2.19,7270,1
2.22,10800,1
5.9,1800,0
1.97,14000,1
1.71,8080,1
7.15,2780,0
6.4,2170,0
3.58,5260,1
7.21,893,0
2.25,9370,1
5.87,1570,0
7.04,2570,0
3.21,6300,1
7.02,1380,0
6.5,1530,0
6.59,1620,0
6.54,3330,0
6.44,2950,0
2.1,6500,1
2.19,10200,1
5.9,1820,0
1.94,13500,1
1.62,7440,1
7.18,2790,0
6.29,2160,0
3.64,5350,1
7.22,891,0
2.23,8760,1
5.88,1570,0
7.03,2620,0
3.06,6390,1
7.03,1380,0
6.5,1540,0
6.59,1620,0
6.56,3150,0
6.44,2840,0
1.97,6270,1
2.08,10400,1
5.9,1920,0
1.89,13900,1
1.58,7870,1
7.2,2810,0
6.18,2150,0
3.59,5120,1
7.23,890,0
2.11,9380,1
5.89,1550,0
7.03,2680,0
3.04,6260,1
7.05,1380,0
6.49,1550,0
6.59,1590,0
6.58,3450,0
6.43,3150,0
1.87,6310,1
2.04,10200,1
5.9,2040,0
1.88,13900,1
1.93,8530,1
7.22,2820,0
6.08,2140,0
3.38,5250,1
7.23,888,0
2.14,9270,1
5.91,1540,0
7.02,2730,0
3,6200,1
7.07,1390,0
6.48,1560,0
6.59,1590,0
6.59,3850,0
6.43,3490,0
1.81,6430,1
1.94,10800,1
5.9,2060,0
1.84,13200,1
2.03,9110,1
7.25,2830,0
5.97,2130,0
3.31,5280,1
7.24,886,0
2.07,9040,1
5.92,1500,0
7.01,2790,0
2.98,6480,1
7.09,1390,0
6.47,1570,0
6.59,1550,0
6.61,4140,0
6.42,3870,0
1.8,6630,1
1.95,10900,1
5.9,2210,0
1.8,12900,1
2.07,9850,1
7.27,2840,0
5.95,2130,0
3.18,3990,1
7.25,885,0
2.09,9390,1
5.93,1540,0
7.01,2850,0
2.87,6200,1
7.11,1390,0
6.47,1580,0
6.59,1590,0
6.63,4270,0
6.42,4230,0
1.54,6980,1
1.99,11000,1
5.9,2230,0
1.74,13900,1
2.09,10400,1
7.29,2850,0
5.93,2120,0
2.89,3680,1
7.26,883,0
2.1,9930,1
5.93,1500,0
7,2910,0
2.93,6770,1
7.12,1400,0
6.46,1580,0
6.59,1540,0
6.65,4260,0
6.41,4510,0
1.92,7870,1
2.11,10700,1
5.9,2280,0
1.78,13300,1
2.25,11000,1
7.31,2870,0
5.91,2110,0
2.56,3660,1
7.26,882,0
2.13,9880,1
5.93,1480,0
6.99,2970,0
3.05,6910,1
7.14,1400,0
6.45,1590,0
6.6,1520,0
6.67,4260,0
6.41,4330,0
2.86,9060,1
2.1,11400,1
5.9,2260,0
1.79,13700,1
2.39,12000,1
7.33,2880,0
5.9,2100,0
2.12,4000,1
7.27,880,0
2.17,10600,1
5.93,1490,0
6.99,3030,0
3.07,7280,1
7.16,1410,0
6.44,1600,0
6.6,1530,0
6.68,4210,0
6.4,4540,0
2.7,8760,1
1.84,10100,1
5.9,2230,0
1.82,13600,1
2.4,12000,1
7.35,2890,0
5.88,2090,0
3.09,4400,1
7.28,880,0
2,8940,1
5.92,1520,0
6.98,3090,0
3.07,7080,1
7.18,1410,0
6.43,1610,0
6.6,1560,0
6.7,4230,0
6.4,4740,0
2.53,9340,1
1.66,9630,1
5.92,2330,0
2.05,12900,1
2.25,12600,1
7.37,2920,0
5.92,2080,0
2.47,4430,1
7.29,872,0
1.85,7300,1
5.92,1520,0
6.97,3200,0
2.74,6890,1
7.2,1430,0
6.43,1620,0
6.6,1570,0
6.72,4140,0
6.4,4880,0
2.37,8830,1
1.81,8820,1
5.95,2190,0
2.27,12300,1
1.83,12700,1
7.38,2950,0
5.97,2070,0
2.53,4720,1
7.29,865,0
2.04,6550,1
5.92,1480,0
6.97,3310,0
2.69,6470,1
7.22,1440,0
6.42,1640,0
6.6,1550,0
6.74,3970,0
6.39,4940,0
2.21,9020,1
2.07,8610,1
5.98,2430,0
2.4,12200,1
2,13000,1
7.4,2980,0
6.01,2060,0
2.88,4950,1
7.3,857,0
2.19,6260,1
5.92,1510,0
6.96,3420,0
2.61,5450,1
7.23,1460,0
6.41,1660,0
6.6,1600,0
6.76,3950,0
6.39,4970,0
2.04,9220,1
2.13,9040,1
6.01,2460,0
2.5,12600,1
1.89,13400,1
7.41,3010,0
6.05,2050,0
2.84,5130,1
7.31,850,0
2.25,5290,1
5.92,1470,0
6.95,3530,0
2.39,4380,1
7.25,1470,0
6.4,1670,0
6.6,1570,0
6.78,4200,0
6.38,5050,0
1.88,3830,1
2.18,9520,1
6.04,2460,0
2.6,12600,1
1.53,9900,1
7.43,3030,0
6.1,2040,0
2.91,4690,1
7.31,843,0
2.31,5600,1
5.92,1420,0
6.95,3650,0
2.37,3920,1
7.27,1490,0
6.4,1690,0
6.6,1530,0
6.8,4260,0
6.38,5090,0
1.88,4350,1
2.54,10000,1
6.07,2650,0
2.62,15600,1
2.01,4850,1
7.44,3060,0
6.21,2030,0
2.7,4860,1
7.32,835,0
3,8360,1
5.92,1320,0
6.94,3770,0
3.01,5270,1
7.29,1510,0
6.39,1700,0
6.6,1440,0
6.82,4340,0
6.37,5180,0
1.87,4820,1
2.48,10500,1
6.09,2680,0
2.56,15900,1
2.04,5320,1
7.45,3090,0
6.32,2020,0
2.67,4920,1
7.33,828,0
3.04,8940,1
5.91,1300,0
6.93,3900,0
2.9,6230,1
7.31,1520,0
6.38,1720,0
6.6,1430,0
6.84,4370,0
6.37,5140,0
1.87,6160,1
2.46,11000,1
6.12,2870,0
2.54,16200,1
2.1,6180,1
7.47,3120,0
6.43,2010,0
2.88,4880,1
7.34,821,0
3.02,9460,1
5.91,1290,0
6.93,4030,0
2.84,6670,1
7.32,1540,0
6.37,1740,0
6.6,1430,0
6.86,4420,0
6.36,5430,0
1.87,7340,1
2.41,11300,1
6.15,3010,0
2.44,15900,1
2.16,7140,1
7.48,3150,0
6.54,2000,0
2.68,4820,1
7.34,814,0
3,10600,1
5.9,1300,0
6.92,4170,0
2.63,7180,1
7.34,1560,0
6.36,1750,0
6.6,1450,0
6.88,4650,0
6.36,5400,0
1.87,8270,1
2.31,11900,1
6.18,3050,0
2.33,16900,1
2.08,8430,1
7.49,3180,0
6.65,1990,0
2.45,4870,1
7.35,807,0
2.83,11100,1
5.9,1280,0
6.92,4310,0
2.45,7730,1
7.36,1570,0
6.36,1770,0
6.6,1390,0
6.9,4920,0
6.35,5730,0
2.02,8840,1
2.32,12500,1
6.17,3100,0
2.32,17600,1
2.09,9130,1
7.47,3160,0
6.66,1970,0
2.47,5380,1
7.3,825,0
2.81,11600,1
5.9,1270,0
6.91,4240,0
2.42,8260,1
7.39,1870,0
6.36,1870,0
6.6,1320,0
6.9,5150,0
6.34,5870,0
2.06,8850,1
2.34,12400,1
6.15,3240,0
2.3,17900,1
2.11,9880,1
7.44,3240,0
6.69,1980,0
2.51,5800,1
7.2,830,0
2.76,11800,1
5.9,1280,0
6.91,4180,0
2.37,8790,1
7.45,1650,0
6.35,1970,0
6.6,1290,0
6.9,5270,0
6.31,5940,0
2.09,9220,1
2.36,12700,1
6.14,3290,0
2.3,18600,1
2.14,10600,1
7.43,3240,0
6.71,1970,0
2.55,5710,1
7.12,864,0
2.72,12100,1
5.9,1330,0
6.91,4130,0
2.32,9340,1
7.51,1570,0
6.35,1980,0
6.6,1380,0
6.91,5430,0
6.29,6070,0
2.16,10100,1
2.39,13100,1
6.14,3440,0
2.31,19700,1
2.17,11400,1
7.41,3420,0
6.72,1940,0
2.59,6160,1
7.05,849,0
2.7,12500,1
5.9,1350,0
6.91,4070,0
2.29,9730,1
7.57,1710,0
6.35,2080,0
6.6,1370,0
6.91,5460,0
6.26,6290,0
2.29,11200,1
2.42,13600,1
6.14,3610,0
2.33,21000,1
2.2,12600,1
7.41,3460,0
6.73,1920,0
2.62,6370,1
6.99,875,0
2.68,13100,1
5.9,1350,0
6.91,4010,0
2.28,10200,1
7.64,1800,0
6.35,2080,0
6.6,1360,0
6.92,5670,0
6.25,6470,0
2.49,12000,1
2.46,13900,1
6.16,3610,0
2.36,22000,1
2.23,13400,1
7.41,3740,0
6.74,1950,0
2.66,6840,1
6.95,881,0
2.69,13600,1
5.9,1380,0
6.91,4330,0
2.28,10600,1
7.7,1860,0
6.35,1990,0
6.6,1370,0
6.93,5740,0
6.23,6680,0
2.57,12700,1
2.49,14100,1
6.18,3790,0
2.39,22400,1
2.27,14000,1
7.43,4100,0
6.74,1990,0
2.69,7060,1
6.92,857,0
2.7,14200,1
5.9,1330,0
6.92,4930,0
2.29,11100,1
7.76,1880,0
6.35,2020,0
6.6,1380,0
6.94,5870,0
6.22,6780,0
2.6,13100,1
2.53,13900,1
6.2,4030,0
2.43,22300,1
2.31,14600,1
7.45,4180,0
6.74,2060,0
2.72,7430,1
6.9,876,0
2.72,14300,1
5.9,1390,0
6.92,5440,0
2.32,11600,1
7.83,1860,0
6.36,1990,0
6.6,1370,0
6.95,5700,0
6.21,6780,0
2.69,13400,1
2.57,14300,1
6.21,4260,0
2.48,23600,1
2.35,15500,1
7.48,4880,0
6.73,2100,0
2.74,7280,1
6.89,870,0
2.74,14500,1
5.9,1380,0
6.93,5880,0
2.35,12200,1
7.89,1830,0
6.36,2030,0
6.6,1350,0
6.96,5600,0
6.19,6940,0
2.7,14500,1
2.6,15000,1
6.21,4490,0
2.52,25100,1
2.4,16600,1
7.52,5130,0
6.72,2160,0
2.77,7450,1
6.88,905,0
2.77,15400,1
5.91,1440,0
6.93,6350,0
2.39,12900,1
7.95,1880,0
6.35,2180,0
6.6,1370,0
6.97,6150,0
6.17,7040,0
2.79,15200,1
2.62,15600,1
6.19,4800,0
2.55,26600,1
2.43,17200,1
7.57,4600,0
6.7,2240,0
2.79,8310,1
6.88,926,0
2.8,16000,1
5.9,1450,0
6.92,6790,0
2.43,13800,1
8,1790,0
6.35,2170,0
6.6,1410,0
6.97,6460,0
6.13,7160,0
2.8,15500,1
2.63,16300,1
6.14,4940,0
2.58,27400,1
2.47,17800,1
7.61,3430,0
6.67,2300,0
2.8,9100,1
6.88,939,0
2.81,16700,1
5.89,1440,0
6.91,6920,0
2.47,14700,1
8.04,1860,0
6.35,2230,0
6.6,1470,0
6.96,6740,0
6.08,7390,0
2.82,16000,1
2.62,16900,1
6.06,4900,0
2.58,28500,1
2.49,18100,1
7.65,4240,0
6.65,2370,0
2.82,9970,1
6.87,1010,0
2.81,17300,1
5.88,1480,0
6.9,7460,0
2.5,15600,1
8.08,1900,0
6.34,2380,0
6.6,1520,0
6.95,6810,0
6.03,7740,0
2.8,16900,1
2.6,17900,1
5.95,4930,0
2.56,29700,1
2.5,19000,1
7.67,4420,0
6.62,2540,0
2.83,10500,1
6.87,1030,0
2.8,18200,1
5.86,1550,0
6.87,7890,0
2.52,16000,1
8.1,2010,0
6.34,2420,0
6.6,1580,0
6.92,7040,0
5.97,8090,0
2.7,17200,1
2.56,18400,1
5.82,4970,0
2.53,30700,1
2.48,19900,1
7.68,4640,0
6.58,2630,0
2.83,11200,1
6.86,1060,0
2.77,18800,1
5.83,1450,0
6.83,8770,0
2.53,16200,1
8.12,2010,0
6.34,2430,0
6.6,1630,0
6.88,7240,0
5.92,8370,0
2.66,18100,1
2.5,18800,1
5.66,5100,0
2.47,31400,1
2.44,20200,1
7.68,4270,0
6.53,2570,0
2.84,11900,1
6.87,1080,0
2.73,19600,1
5.79,1420,0
6.77,9540,0
2.53,17000,1
8.13,2210,0
6.34,2280,0
6.6,1710,0
6.82,7600,0
5.86,8530,0
2.62,18500,1
2.43,19400,1
5.49,5190,0
2.4,32300,1
2.37,20200,1
7.67,4580,0
6.47,2490,0
2.85,12400,1
6.88,1100,0
2.68,20300,1
5.75,1490,0
6.7,10500,0
2.52,18100,1
8.13,2260,0
6.36,1880,0
6.6,1730,0
6.73,7650,0
5.81,8900,0
2.59,19200,1
2.36,20100,1
5.33,5560,0
2.31,33400,1
2.28,21200,1
7.67,4970,0
6.4,2510,0
2.86,13100,1
6.9,1110,0
2.62,20900,1
5.7,1500,0
6.62,11800,0
2.5,19300,1
8.12,2300,0
6.39,1830,0
6.6,1790,0
6.63,7370,0
5.77,9060,0
2.49,20400,1
2.28,21400,1
5.17,5850,0
2.22,34900,1
2.17,22400,1
7.66,5290,0
6.32,2640,0
2.87,14200,1
6.94,1120,0
2.56,22200,1
5.65,1580,0
6.53,13100,0
2.48,20300,1
8.1,2380,0
6.43,2200,0
6.6,1860,0
6.51,7360,0
5.72,9330,0
2.29,21800,1
2.21,22700,1
5.02,6290,0
2.12,36900,1
2.04,23300,1
7.64,5680,0
6.23,2890,0
2.87,14600,1
6.98,1110,0
2.49,23200,1
5.59,1590,0
6.44,11100,0
2.44,21500,1
8.08,2360,0
6.47,2710,0
6.6,2000,0
6.38,7630,0
5.67,9590,0
2.2,22800,1
2.13,23400,1
4.9,6820,0
2.02,38500,1
1.92,23900,1
7.62,5050,0
6.14,2950,0
2.87,15200,1
7.02,1130,0
2.41,24100,1
5.52,1560,0
6.36,12200,0
2.4,21700,1
8.05,2440,0
6.52,2990,0
6.6,1960,0
6.24,7730,0
5.61,9790,0
