nonst-p,20,14,16,13,8,6,6,15
nonst-r,20,20,20,15,10,8,10,18
seq-p,20,17,18,17,16,15,17,17
base,20,20,19,16,16,12,14,20
base-r,20,20,20,18,17,14,14,20
mov,20,18,20,18,18,12,14,20
mov-r,20,19,19,18,17,8,12,20
nonst,20,20,20,17,15,14,14,18
seq,20,20,20,20,18,17,18,20
seq-r,20,20,20,19,16,9,14,20
all,200,188,192,171,151,115,133,188
