,filename,group,corr_level,total_corr_levels,idf,AMI,Sil,CH,DB,iXB,iPS,irCIP,TS
0,dataT/d64.arff,sp_overclustering,0,8,0,1.0,0.9663381652608024,54451.23373484779,0.04958343457137287,0.0007982555592227691,9.66045732914071,3.5526841195083464e-29,0.8758013426091897
1,dataT/d64.arff,sp_overclustering,1,8,0,0.9949092152767738,0.9154381715987734,51070.49390394877,0.5769879019778213,2.29465492225062,7.902086394773258,4.5913936527286e-29,0.8524622193999393
2,dataT/d64.arff,sp_overclustering,2,8,0,0.9883422254876666,0.8658659082645109,48152.348819586434,1.0731173679863895,3.3035837605620184,6.138065926808824,5.626324511897941e-29,0.8331361563813835
3,dataT/d64.arff,sp_overclustering,3,8,0,0.9804096651135263,0.8079637960105538,45525.56212030662,1.5742014304836693,4.497794810201253,4.458959192025447,6.589505264317937e-29,0.805568753078753
4,dataT/d64.arff,sp_overclustering,4,8,0,0.9754080303042852,0.7565556813515271,43106.75809339654,1.9042841418751137,8.636151330293231,2.8645210408404838,7.841573750131367e-29,0.7833739552738087
5,dataT/d64.arff,sp_overclustering,5,8,0,0.9693862288763601,0.7070154282958394,40966.79756228696,2.1514922351625776,9.262452445800788,1.268190821739577,9.081526429987653e-29,0.7676436607146239
6,dataT/d64.arff,sp_overclustering,6,8,0,0.9621984259789638,0.653736527596267,39049.02079104904,2.507185670308269,9.220714549943985,-0.42577171573658973,1.0429811555500714e-28,0.7413149586285491
7,dataT/d64.arff,sp_overclustering,7,8,0,0.9548452668059318,0.5982420081336803,37299.90169681358,2.8278703979408384,9.192312861249466,-2.0237528595239316,1.1806697908067146e-28,0.7100819046305724
8,dataT/d64.arff,sp_underclustering,0,8,0,1.0,0.9663381652608024,54451.23373484779,0.04958343457137287,0.0007982555592227691,9.66045732914071,3.5526841195083464e-29,0.8758013426091897
9,dataT/d64.arff,sp_underclustering,1,8,0,0.9834641458117246,0.9057166766840818,1314.258659067261,0.5202160661027663,0.04161156617469228,4.815784012300586,3.146590452577921e-29,0.8255085135405253
10,dataT/d64.arff,sp_underclustering,2,8,0,0.9598939321091636,0.8386797755423538,593.343305030972,0.6500231371945243,0.08816386057748596,2.588333624969663,2.7894917848158243e-29,0.8059723847176079
11,dataT/d64.arff,sp_underclustering,3,8,0,0.9308403313678126,0.7651314855913622,340.2941421145951,0.7799341064181733,0.1480695297300349,1.415500968216839,2.4951398058408103e-29,0.7595312343018066
12,dataT/d64.arff,sp_underclustering,4,8,0,0.8967350523619231,0.6942002355608776,260.6638263906509,0.8232059507924155,0.20658110672464822,0.5407328332278742,2.0584592615070136e-29,0.7258997460132491
13,dataT/d64.arff,sp_underclustering,5,8,0,0.8575600193701298,0.6267389036667717,213.37145560434485,0.8525012228721394,0.26763861697367797,0.010047242098454617,1.6377639613827184e-29,0.7030896266662175
14,dataT/d64.arff,sp_underclustering,6,8,0,0.8130304712550117,0.5669943576253644,179.63132250131414,0.8796386255847647,0.34171500527292253,-0.32174064385652795,1.2657891406209456e-29,0.673235201600886
15,dataT/d64.arff,sp_underclustering,7,8,0,0.7626518099313965,0.5086869577574504,158.03105191873973,0.8799897730916697,0.3961016092954456,-0.2786629687742837,1.0098451245324601e-29,0.6342015477361113
16,dataT/d64.arff,slicing_clusters,0,8,0,1.0,0.9663381652608024,54451.23373484779,0.04958343457137287,0.0007982555592227691,9.66045732914071,3.5526841195083464e-29,0.8758013426091897
17,dataT/d64.arff,slicing_clusters,1,8,0,0.9919030951809718,0.9067285387655211,51052.5211453347,0.7815126315887485,4.747832713442041,8.69959723883269,4.124418184365179e-29,0.8509034001604368
18,dataT/d64.arff,slicing_clusters,2,8,0,0.9841300930931705,0.848434983029995,48108.19884131134,1.30354854008796,3.160815214628413,7.972212808194272,4.5446995004738346e-29,0.8301101531780294
19,dataT/d64.arff,slicing_clusters,3,8,0,0.9761972433265065,0.7863621425800043,45422.59478927167,2.0939050138004713,5.495052203665095,6.865102390437481,5.179453733947102e-29,0.804059492483017
20,dataT/d64.arff,slicing_clusters,4,8,0,0.9681899932858944,0.7266545917750589,43008.21178198833,2.559885382184235,20.202363073280374,6.470010183170068,5.611608173950347e-29,0.7770698787139453
21,dataT/d64.arff,slicing_clusters,5,8,0,0.9605134534621856,0.6620633072545425,40817.41378630073,3.1270399571660334,16.064644743492035,5.170865404690227,6.500074500009336e-29,0.754966958380613
22,dataT/d64.arff,slicing_clusters,6,8,0,0.9527785819653279,0.6054307445125674,38898.32036028096,3.4198161577037833,16.567056188278958,4.2158585031801525,7.296014269092442e-29,0.7273552686510969
23,dataT/d64.arff,slicing_clusters,7,8,0,0.9450071693811893,0.5453582088939914,37144.87732052324,3.7629127010794066,18.6136886563465,3.858488908119221,7.700344303267582e-29,0.6965930612513674
24,dataT/d64.arff,impurity,0,8,0,1.0,0.9663381652608024,54451.23373484779,0.04958343457137287,0.0007982555592227691,9.66045732914071,3.5526841195083464e-29,0.8758013426091897
25,dataT/d64.arff,impurity,1,8,0,0.9226894436594326,0.844740554070913,726.972327458799,0.2075297501365359,0.06255712102228407,9.168978076172678,4.853758682693502e-29,0.7844058113563999
26,dataT/d64.arff,impurity,2,8,0,0.8517573680135565,0.7286521547518242,341.70503161973096,0.4183945382905453,0.7443915553505415,8.534818241682057,5.634960822899035e-29,0.6571680174150593
27,dataT/d64.arff,impurity,3,8,0,0.7768032131746682,0.6187263719311136,211.72974782233325,0.6106014814252827,1.092880589934819,8.19456849904416,6.754476967223715e-29,0.5522123887177792
