index,filename,group,corr_level,total_corr_levels,idf,AMI,TS,s,kn
0,dataT/unbalance2b.arff,sp_overclustering,0,8,0,1.0,0.8840181369210995,10,200
1,dataT/unbalance2b.arff,sp_overclustering,0,8,0,1.0,0.8838058473277733,10,400
2,dataT/unbalance2b.arff,sp_overclustering,0,8,0,1.0,0.8835911849334224,10,600
3,dataT/unbalance2b.arff,sp_overclustering,0,8,0,1.0,0.8831927048602114,10,800
4,dataT/unbalance2b.arff,sp_overclustering,0,8,0,1.0,0.8832848156441605,10,1000
5,dataT/unbalance2b.arff,sp_overclustering,0,8,0,1.0,0.8834010187129802,10,1200
6,dataT/unbalance2b.arff,sp_overclustering,0,8,0,1.0,0.8831963690499038,10,1400
7,dataT/unbalance2b.arff,sp_overclustering,0,8,0,1.0,0.883194180095162,10,1600
8,dataT/unbalance2b.arff,sp_overclustering,0,8,0,1.0,0.8834039436166342,10,1800
9,dataT/unbalance2b.arff,sp_overclustering,0,8,0,1.0,0.8832867682006403,10,2000
10,dataT/unbalance2b.arff,sp_overclustering,0,8,0,1.0,0.8799728295298763,20,200
11,dataT/unbalance2b.arff,sp_overclustering,0,8,0,1.0,0.8797612287034946,20,400
12,dataT/unbalance2b.arff,sp_overclustering,0,8,0,1.0,0.8795266725458462,20,600
13,dataT/unbalance2b.arff,sp_overclustering,0,8,0,1.0,0.8791163703618469,20,800
14,dataT/unbalance2b.arff,sp_overclustering,0,8,0,1.0,0.8792049978263052,20,1000
15,dataT/unbalance2b.arff,sp_overclustering,0,8,0,1.0,0.8793310095615625,20,1200
16,dataT/unbalance2b.arff,sp_overclustering,0,8,0,1.0,0.8791203130843722,20,1400
17,dataT/unbalance2b.arff,sp_overclustering,0,8,0,1.0,0.8791188643120861,20,1600
18,dataT/unbalance2b.arff,sp_overclustering,0,8,0,1.0,0.879338039223298,20,1800
19,dataT/unbalance2b.arff,sp_overclustering,0,8,0,1.0,0.8792196061232858,20,2000
20,dataT/unbalance2b.arff,sp_overclustering,0,8,0,1.0,0.8795371189767274,50,200
21,dataT/unbalance2b.arff,sp_overclustering,0,8,0,1.0,0.8793283437982446,50,400
22,dataT/unbalance2b.arff,sp_overclustering,0,8,0,1.0,0.8790894441901842,50,600
23,dataT/unbalance2b.arff,sp_overclustering,0,8,0,1.0,0.8786698231098811,50,800
24,dataT/unbalance2b.arff,sp_overclustering,0,8,0,1.0,0.8787589425794406,50,1000
25,dataT/unbalance2b.arff,sp_overclustering,0,8,0,1.0,0.8788848010535637,50,1200
26,dataT/unbalance2b.arff,sp_overclustering,0,8,0,1.0,0.8786728653987471,50,1400
27,dataT/unbalance2b.arff,sp_overclustering,0,8,0,1.0,0.8786719150655925,50,1600
28,dataT/unbalance2b.arff,sp_overclustering,0,8,0,1.0,0.8788945492127798,50,1800
29,dataT/unbalance2b.arff,sp_overclustering,0,8,0,1.0,0.8787753306353303,50,2000
30,dataT/unbalance2b.arff,sp_overclustering,0,8,0,1.0,0.8779559623395918,100,200
31,dataT/unbalance2b.arff,sp_overclustering,0,8,0,1.0,0.8777500042261637,100,400
32,dataT/unbalance2b.arff,sp_overclustering,0,8,0,1.0,0.8775133094439068,100,600
33,dataT/unbalance2b.arff,sp_overclustering,0,8,0,1.0,0.8770961819547658,100,800
34,dataT/unbalance2b.arff,sp_overclustering,0,8,0,1.0,0.877186066301453,100,1000
35,dataT/unbalance2b.arff,sp_overclustering,0,8,0,1.0,0.8773138928915891,100,1200
36,dataT/unbalance2b.arff,sp_overclustering,0,8,0,1.0,0.8771000756417762,100,1400
37,dataT/unbalance2b.arff,sp_overclustering,0,8,0,1.0,0.8770985583834996,100,1600
38,dataT/unbalance2b.arff,sp_overclustering,0,8,0,1.0,0.8773222647645189,100,1800
39,dataT/unbalance2b.arff,sp_overclustering,0,8,0,1.0,0.8772020694397699,100,2000
40,dataT/unbalance2b.arff,sp_overclustering,0,8,0,1.0,0.8811167243352865,150,200
41,dataT/unbalance2b.arff,sp_overclustering,0,8,0,1.0,0.8809075115731061,150,400
42,dataT/unbalance2b.arff,sp_overclustering,0,8,0,1.0,0.8806684405427723,150,600
43,dataT/unbalance2b.arff,sp_overclustering,0,8,0,1.0,0.8802483823499644,150,800
44,dataT/unbalance2b.arff,sp_overclustering,0,8,0,1.0,0.8803368704494635,150,1000
45,dataT/unbalance2b.arff,sp_overclustering,0,8,0,1.0,0.8804635829424932,150,1200
46,dataT/unbalance2b.arff,sp_overclustering,0,8,0,1.0,0.8802499925003501,150,1400
47,dataT/unbalance2b.arff,sp_overclustering,0,8,0,1.0,0.8802486366487711,150,1600
48,dataT/unbalance2b.arff,sp_overclustering,0,8,0,1.0,0.880472997623643,150,1800
49,dataT/unbalance2b.arff,sp_overclustering,0,8,0,1.0,0.8803526446269169,150,2000
50,dataT/unbalance2b.arff,sp_overclustering,0,8,0,1.0,0.8796012858619603,200,200
51,dataT/unbalance2b.arff,sp_overclustering,0,8,0,1.0,0.8793937513174709,200,400
52,dataT/unbalance2b.arff,sp_overclustering,0,8,0,1.0,0.8791547710710709,200,600
53,dataT/unbalance2b.arff,sp_overclustering,0,8,0,1.0,0.8787351800135156,200,800
54,dataT/unbalance2b.arff,sp_overclustering,0,8,0,1.0,0.8788224127902111,200,1000
55,dataT/unbalance2b.arff,sp_overclustering,0,8,0,1.0,0.878949076981145,200,1200
56,dataT/unbalance2b.arff,sp_overclustering,0,8,0,1.0,0.8787363785884443,200,1400
57,dataT/unbalance2b.arff,sp_overclustering,0,8,0,1.0,0.8787348096716734,200,1600
58,dataT/unbalance2b.arff,sp_overclustering,0,8,0,1.0,0.8789589498326725,200,1800
59,dataT/unbalance2b.arff,sp_overclustering,0,8,0,1.0,0.8788386224897891,200,2000
60,dataT/unbalance2b.arff,sp_overclustering,0,8,0,1.0,0.8801869214846568,250,200
61,dataT/unbalance2b.arff,sp_overclustering,0,8,0,1.0,0.8799782325134458,250,400
